KEYWORDS, BEST,GOOD,BAD,EACH WORD %%
blackrock,0,1,2,33.333333333333336
canada,0,5,5,050.0
announces,81,245,308,51.41955835962145
estimated,1,1,4,33.333333333333336
2017,60,187,292,45.82560296846011
annual,8,41,50,49.494949494949495
reinvested,0,1,2,33.333333333333336
capital,4,20,28,46.15384615384615
gains,1,1,4,33.333333333333336
distributions,1,2,6,33.333333333333336
ishares,0,1,2,33.333333333333336
etfs,0,1,4,020.0
nyse,25,79,83,55.61497326203209
point,2,2,2,66.66666666666667
loma,2,1,2,060.0
resources,4,14,15,54.54545454545455
third,1,32,43,43.421052631578945
quarter,10,66,92,45.23809523809524
financial,10,33,53,44.791666666666664
operating,1,3,6,040.0
results,15,72,117,42.64705882352941
venture,14,43,60,48.717948717948715
exchange,20,89,118,48.01762114537445
november,28,68,103,48.24120603015076
alamos,1,1,4,33.333333333333336
gold,2,13,19,44.11764705882353
completion,6,13,14,57.57575757575758
acquisition,3,6,11,045.0
richmont,0,0,1,000.0
mines,4,6,6,062.5
strong,66,218,312,47.651006711409394
amounts,0,1,3,025.0
united,1,6,9,43.75
states,1,2,8,27.272727272727273
dollars,0,1,3,025.0
unless,0,1,3,025.0
otherwise,0,1,3,025.0
stated,0,1,3,025.0
technologies,1,11,17,41.37931034482759
passing,0,0,1,000.0
jean,0,1,2,33.333333333333336
lamarre,0,0,1,000.0
chairman,1,1,2,050.0
board,7,21,26,51.851851851851855
directors,4,18,20,52.38095238095238
company,11,31,51,45.16129032258065
global,7,22,27,51.785714285714285
carbon,0,2,0,100.0
black,2,6,5,61.53846153846154
market,4,30,28,54.83870967741935
2025,1,1,0,100.0
profiles,0,1,0,100.0
producers,0,1,0,100.0
including,0,2,2,050.0
product,2,15,11,60.714285714285715
production,6,16,12,64.70588235294117
capacities,0,1,0,100.0
revenues,0,10,13,43.47826086956522
ethereum,0,1,1,050.0
price,1,4,0,100.0
hits,0,1,0,100.0
high,4,5,12,42.857142857142854
billionaire,0,1,0,100.0
predicts,0,2,1,66.66666666666667
surge,0,1,0,100.0
